patty.id lat lng ele rss gps.time.err
4 40.007577100 -105.266533400 1651.970 -62 0.392065
4 40.006167400 -105.270585300 1659.980 -90 0.182944
4 40.007295000 -105.264147300 1646.390 -77 -0.480455
4 40.006571800 -105.262093600 1647.600 -81 0.497787
4 40.008168300 -105.264288300 1645.000 -58 0.16867
4 40.007259600 -105.267561200 1663.420 -73 0.207501
4 40.006939700 -105.264150600 1651.290 -79 -0.20366
4 40.004723500 -105.262115200 1645.640 -79 -0.020658
4 40.008151700 -105.262212400 1641.050 -73 0.452047
4 40.007909900 -105.269784600 1664.440 -89 -0.411534
4 40.007599000 -105.266533200 1651.920 -62 0.471521
7 40.006119100 -105.270583100 1659.320 -91 -0.187074
4 40.007292300 -105.264116800 1646.400 -78 -0.30887
2 40.003434300 -105.262327800 1657.680 -87 0.170597
4 40.006571800 -105.262093600 1647.600 -75 -0.216273
4 40.008165100 -105.264286000 1645.010 -61 0.241518
4 40.007259600 -105.267561200 1663.420 -76 -0.430846
4 40.005575200 -105.265737100 1652.450 -86 -0.082691
4 40.008151700 -105.262212400 1641.050 -71 -0.480958
7 40.007904200 -105.269754100 1664.300 -85 0.177568
6 40.008275600 -105.268080300 1652.990 -88 -0.166635
4 40.007599000 -105.266533200 1651.920 -63 -0.125265
